handle,tweet_text,tweet_date,tweet_time,image_urls
TimesAlgebraIND,Thankyou,2025-02-13,06:52:30,[]
TimesAlgebraIND,"BIG NEWS  Trump Administration Retreats From White-Collar Criminal Enforcement.

Major Boost for Adani Group !!

It is likely to benefit companies like Adani Group and Cognizant. 

This move is likely to benefit Azure Power — which had a key solar project partnership with an",2025-04-15,06:25:24,['https://pbs.twimg.com/media/GojkqPJWgAA87qm?format=jpg&name=900x900']
TimesAlgebraIND,"BIG BREAKING NEWS  Tamilnadu BJP President Nainar Nagendran said TTV and OPS will remain part of NDA.

TTV and OPS together hold atleast 5% votes which will help NDA on many seats",2025-04-15,05:15:49,[]
TimesAlgebraIND,BREAKING NEWS  ED summons Robert Vadra over Haryana land deal.,2025-04-15,05:06:49,['https://pbs.twimg.com/media/GojSryjXQAADg4B?format=jpg&name=900x900']
TimesAlgebraIND,"BIG BREAKING NEWS  Assam, Rajasthan, Chhattisgarh & Maharashtra Govts filed petitions in Supreme Court supporting the Waqf Act 

MASSIVE MOVE !! BJP is UNSTOPPABLE

BJP playing on front foot 

Central Govt has also filed CAVEAT in Supreme Court over petitions challenging",2025-04-15,01:47:00,"['https://pbs.twimg.com/media/GohquQ_WcAAbwQa?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GohqxcuWIAABBQx?format=jpg&name=small']"
TimesAlgebraIND,WATCH - Even School kids in India get better prizes,2025-04-14,16:22:37,['https://pbs.twimg.com/amplify_video_thumb/1911810591712260097/img/q4sK2Hb7N75TJZgY.jpg']
TimesAlgebraIND,BREAKING NEWS  Pashupati Paras quits NDA.,2025-04-14,16:21:15,[]
TimesAlgebraIND,"SHIVAM TYAGI : ""Waqf is 3rd largest land owner of India. Still Muslims have to repair punctures. Only 2% Muslims are in Army. Why?""",2025-04-14,15:17:36,['https://pbs.twimg.com/amplify_video_thumb/1911797247387295745/img/ZOxjfY_0e3zHwMt3.jpg']
TimesAlgebraIND,What happened to Mohabbat ki Dukan today?,2025-04-14,15:10:16,['https://pbs.twimg.com/ext_tw_video_thumb/1911799046563303424/pu/img/YrvV8kXVbqmPLCQu.jpg']
TimesAlgebraIND,"The government deserves applause for empowering NFSU to lead India toward self-reliance in forensics through innovation, research, and skilled manpower development!",2025-04-14,14:59:59,['https://pbs.twimg.com/amplify_video_thumb/1911763780914003968/img/SUYAZ5F9wOHw4ATT.jpg']
TimesAlgebraIND,"Major Success of Modi Govt!! 

300 kg of narcotics worth ₹1800 crore seized",2025-04-14,14:53:23,[]
TimesAlgebraIND,"UNPRECEDENTED  14 years ago, Rampal Kashyap from Haryana vowed to walk barefoot until Modi became Prime Minister & he could meet him in person.

He remained barefoot for 14 years.

Today, PM Modi fulfilled that vow.

He gifted Rampal a pair of shoes and personally helped him",2025-04-14,13:46:17,"['https://pbs.twimg.com/media/Gof__WCWgAAU2IW?format=jpg&name=small', 'https://pbs.twimg.com/media/Gof__XgW4AAkiVU?format=jpg&name=900x900']"
TimesAlgebraIND,WATCH -,2025-04-14,14:26:29,[]
TimesAlgebraIND,BIG NEWS  Defeated Congress leader Digvijaya Singh blames BJP-RSS for Murshidabad violence.,2025-04-14,12:05:45,[]
TimesAlgebraIND,Why he is unhappy?,2025-04-14,11:57:46,['https://pbs.twimg.com/ext_tw_video_thumb/1911750657398206464/pu/img/HpcxwP7gO-Q8Rbio.jpg']
TimesAlgebraIND,"PVR INOX Blockbuster Tuesday : Movies at ₹99 / ₹149.

Tickets can be booked via PVR / INOX Website/App.

*Valid Only On Tuesday.",2025-04-14,11:02:55,['https://pbs.twimg.com/media/GofaloGWgAAwXmX?format=jpg&name=900x900']
TimesAlgebraIND,"CSK - only team with 2 points now
#LSGvCSK",2025-04-14,10:59:46,['https://pbs.twimg.com/amplify_video_thumb/1911736069587951616/img/JPw47-81yaBkMmJ6.jpg']
TimesAlgebraIND,"CM YOGI : ""Never forget, Congress, SP & TMC did not care about Dalit Hindus of Bangladesh""",2025-04-14,10:03:47,[]
TimesAlgebraIND,"TROUBLE in Bihar Alliances --

Jitan Ram Manjhi demands 40 seats from BJP-JDU.

Congress demands 70 seats from RJD citing 2024 results. 
Like 2015, RJD wants to give only 41 to Congress citing 2020 results.",2025-04-14,09:48:26,[]
TimesAlgebraIND,"SHOCKING  MAULANA : Indian Railways, Indian Defence have occupied our Waqf land

RUBIKA LIYAQUAT : What? What are you saying. 

She started laughing (on Maulana) 

MAULANA : Where we are standing, this is also Waqf property.

RUBIKA  : Tomorrow you will say, Indian",2025-04-14,09:01:17,"['https://pbs.twimg.com/media/Goe-pSmXsAAApSN?format=jpg&name=small', 'https://pbs.twimg.com/media/Goe-wv5WQAAh_sg?format=jpg&name=small']"
TimesAlgebraIND,"BJP alleges ""Akhilesh Yadav and Azam Khan don't respect BR Ambedkar. They only do Muslim appeasement politics""",2025-04-14,06:00:20,['https://pbs.twimg.com/ext_tw_video_thumb/1911654939807371265/pu/img/eRQrlIyA7gG8Y5Sp.jpg']
TimesAlgebraIND,"BIG NEWS  Major Setback for Indian Muslims by Saudi Prince !!

Saudi Arabia SLASHES Indian private Hajj quota by 80 per cent.

Saudi Ministry of Haj and Umrah has also shut down access to the Nusuk portal—a mandatory online platform.

Saudi authorities cancelled Mina Zones 1",2025-04-13,19:33:03,['https://pbs.twimg.com/media/GocFxI0XoAA_Xrp?format=jpg&name=900x900']
TimesAlgebraIND,"BIG NEWS  India will develop its own LLM, similar to ChatGPT.

Unlike China's DeepSeek, it won’t be a copy-paste model 

It will be highly innovative.

During his visit to Paris, PM Modi stated that India is building its own Large Language Model.

The technology will be",2025-04-13,18:26:00,"['https://pbs.twimg.com/media/Gob2asfWEAMBzAN?format=jpg&name=small', 'https://pbs.twimg.com/media/Gob2arOXwAAkefi?format=jpg&name=small']"
TimesAlgebraIND,"BIG NEWS  Centre is preparing to file review petition against Justice JB Pardiwala's verdict on Governor & President 

Supreme Court cites Pakistan's constitution to set deadline for assent to bills.

SC has even said President ought to seek Court's opinion if Governor claims",2025-04-13,17:11:51,"['https://pbs.twimg.com/media/GobldCVW4AAfW21?format=jpg&name=small', 'https://pbs.twimg.com/media/GobldFKXYAAZ9TO?format=jpg&name=small']"
TimesAlgebraIND,"MAMATA BANERJEE : I am not going to implement Waqf Act in West Bengal 

SUDHANSHU TRIVEDI : ""No State govt can DEFY a Law passed by the Central govt"" 

""Article 256 of the Constitution directs that state Govts are bound to obey the central laws""

""Constitution is in danger",2025-04-13,16:31:39,"['https://pbs.twimg.com/media/GobcPu-XIAE8E-J?format=jpg&name=900x900', 'https://pbs.twimg.com/media/GobcPzAXkAAOgoA?format=jpg&name=small']"
TimesAlgebraIND,WATCH -,2025-04-13,17:05:12,[]
TimesAlgebraIND,BIG NEWS  Suvendu Adhikari demands President Rule in West Bengal,2025-04-13,15:40:40,[]
TimesAlgebraIND,"Justice where 
#RRvsRCB",2025-04-13,11:43:23,['https://pbs.twimg.com/amplify_video_thumb/1911384659541299200/img/zntueBpKKuiuxJTE.jpg']
TimesAlgebraIND,"BIG NEWS  Players of Chennai Super Kings team offered prayers at Hanuman Garhi Mandir, Ayodhya.

Dhoni did not visit there !!

He didn’t attend the Pran Pratishtha ceremony either despite receiving invitation.

CSK team members demonstrated their respect for the rich cultural",2025-04-13,13:14:55,"['https://pbs.twimg.com/media/GoavNKWWcAAsLx3?format=jpg&name=small', 'https://pbs.twimg.com/media/GoavN8TWgAEQN7E?format=jpg&name=small']"
TimesAlgebraIND,WATCH -,2025-04-13,13:52:45,['https://pbs.twimg.com/amplify_video_thumb/1911312697762742272/img/vrAsrfR82xSOQt8E.jpg']
TimesAlgebraIND,"BIG BREAKING NEWS  BJP files police complaint against Congress's Kanhaiya Kumar over his remarks on RSS & PM Modi. 

Kanhaiya Kumar had said, ""Modi ji is a Sanghi, Sanghi is an abuse"" 

When Journalist Megha Prasad objected to it ..
he said ""RSS people are terr***ts""",2025-04-13,11:05:20,"['https://pbs.twimg.com/media/GoaRjSuXEAAYxtw?format=jpg&name=small', 'https://pbs.twimg.com/media/GoaRkEGXEAAOvVd?format=jpg&name=small']"
TimesAlgebraIND,TMC MP is showing off Special  Sunday Lunch amidst violence in state.,2025-04-13,08:23:13,['https://pbs.twimg.com/media/GoZscmXX0AAROUk?format=jpg&name=900x900']
